dt,x,y,position,velocity,acceleration,jerk,heading
1.0,224.45767219217547,136.49710620797143,0.0,-0.0,-0.0,-0.0,0.017453292519943053
1.0,224.45760938684677,136.49710511245496,0.0,-0.1259995442128915,-125.99954421289151,-125999.5442128915,0.017453281468607047
1.0,224.45742097086065,136.49710182590545,-1.259995442128915E-4,-0.2519963537031321,-125.99680949024061,2.734722650899357,0.017453248314599018
1.0,224.45710694421714,136.49709634832294,-3.779958979160236E-4,-0.37798769374807084,-125.99134004493872,5.4694453018839795,0.017453193057918977
1.0,224.45666730691622,136.4970886797073,-7.559835916640945E-4,-0.5039708296250569,-125.98313587698607,8.204167952655439,0.01745311569856692
1.0,224.4561020589579,136.49707882005845,-0.0012599544212891513,-0.6299430266114391,-125.97219698638217,10.938890603895857,0.017453016236542846
1.0,224.45541120034216,136.49706676937626,-0.0018898974479005905,-0.7559015499845669,-125.95852337312785,13.673613254326256,0.017452894671846755
1.0,224.45459473106902,136.4970525276606,-0.0026457989978851573,-0.8818436650217891,-125.9421150372222,16.40833590565194,0.01745275100447865
1.0,224.4536526511385,136.4970360949113,-0.0035276426629069465,-1.0077666370004552,-125.92297197866608,19.14305855611076,0.01745258523443852
1.0,224.45258496055055,136.4970174711281,-0.004535409299907402,-1.1336677311979135,-125.90109419745832,21.87778120776329,0.017452397361726376
1.0,224.45139165930524,136.49699665631078,-0.005669077031105315,-1.2595442128915137,-125.87648169360021,24.612503858108425,0.017452187386342216
1.0,224.45007274740254,136.4969736504591,-0.006928621243996829,-1.3853933473586046,-125.84913446709089,27.34722650932042,0.017451955308286048
1.0,224.44862822484245,136.49694845357274,-0.008314014591355433,-1.5112123998765359,-125.81905251793124,30.081949159651344,0.017451701127557853
1.0,224.447058091625,136.4969210656514,-0.00982522699123197,-1.6369986357226556,-125.7862358461197,32.81667181154546,0.017451424844157647
1.0,224.44536234775015,136.49689148669472,-0.011462225626954625,-1.7627493201743138,-125.75068445165827,35.55139446142164,0.01745112645808542
1.0,224.44354099321797,136.49685971670235,-0.013224974947128938,-1.8884617185088588,-125.71239833454496,38.286117113315754,0.017450805969341177
1.0,224.44159402802842,136.49682575567383,-0.015113436665637798,-2.0141330960036408,-125.67137749478196,41.02083976299298,0.017450463377924927
1.0,224.4395214521815,136.4967896036088,-0.01712756976164144,-2.1397607179360074,-125.62762193236665,43.75556241531342,0.017450098683836648
1.0,224.43732326567724,136.49675126050673,-0.019267330479577446,-2.265341849583309,-125.58113164730145,46.49028506520381,0.01744971188707636
1.0,224.43499946851563,136.49671072636718,-0.021532672329160757,-2.390873756222893,-125.53190663958435,49.225007717097924,0.01744930298764405
1.0,224.4325500606967,136.49666800118962,-0.02392354608538365,-2.516353703132111,-125.4799469092176,51.959730366746726,0.01744887198553972
1.0,224.42997504222046,136.49662308497352,-0.02643989978851576,-2.64177895558831,-125.4252524561994,54.694453018200306,0.017448418880763383
1.0,224.4272744130869,136.49657597771827,-0.02908167874410407,-2.767146778868839,-125.36782328052887,57.42917567053496,0.01744794367331503
1.0,224.42444817329604,136.4965266794233,-0.03184882552297291,-2.892454438251049,-125.30765938221,60.16389831886215,0.017447446363194657
1.0,224.42149632284784,136.49647519008803,-0.03474127996122396,-3.0176991990122874,-125.24476076123835,62.89862097165155,0.017446926950402262
1.0,224.41841886174242,136.49642150971172,-0.037758979160236246,-3.142878326429904,-125.17912741761661,65.63334362174089,0.017446385434937855
1.0,224.4152157899797,136.49636563829372,-0.04090185748666615,-3.2679890857812475,-125.11075935134342,68.36806627319447,0.017445821816801432
1.0,224.4118871075597,136.49630757583333,-0.0441698465724474,-3.3930287423436676,-125.0396565624201,71.10278892331223,0.017445236095992987
1.0,224.40843281448247,136.49624732232982,-0.047562875314791066,-3.5179945613945125,-124.96581905084491,73.83751157519214,0.01744462827251253
1.0,224.404852910748,136.4961848777824,-0.051080869876185576,-3.6428838082111326,-124.88924681662006,76.57223422485515,0.017443998346360054
1.0,224.40114739635627,136.49612024219033,-0.054723753684396706,-3.767693748070874,-124.80993985974153,79.30695687852563,0.017443346317535562
1.0,224.39731627130735,136.4960534155527,-0.05849144743246758,-3.89242164625109,-124.72789818021602,82.041679525517,0.017442672186039062
1.0,224.39335953560123,136.49598439786874,-0.062383869078718665,-4.017064768029127,-124.64312177803683,84.77640217918747,0.017441975951870532
1.0,224.38927718923793,136.49591318913753,-0.06640093384674779,-4.141620378682334,-124.55561065320708,87.51112482974577,0.017441257615029994
1.0,224.38506923221743,136.49583978935814,-0.07054255422543013,-4.266085743488062,-124.46536480572767,90.24584747940878,0.017440517175517437
1.0,224.38073566453977,136.4957641985297,-0.07480863996891819,-4.390458127723658,-124.37238423559637,92.9805701313029,0.01743975463333286
1.0,224.37627648620497,136.49568641665127,-0.07919909809664186,-4.514734796666471,-124.27666894281319,95.7152927831828,0.01743896998847627
1.0,224.37169169721307,136.49560644372175,-0.08371383289330833,-4.638913015593852,-124.17821892738078,98.45001543240528,0.017438163240947668
1.0,224.36700463609102,136.49552486294553,-0.08835274590890219,-4.762996462229427,-124.08344663557536,94.77229180542679,0.01743594070751753
1.0,224.36219701370158,136.49544121719546,-0.09311574237113161,-4.886977750770536,-123.98128854110891,102.15809446644641,0.017433394542206493
1.0,224.35726451800525,136.49535539870053,-0.09800272012190214,-5.0108530088994785,-123.87525812894218,106.03041216673148,0.017430782242731535
1.0,224.35220714900228,136.49526740745085,-0.10301357313080162,-5.134619517887734,-123.76650898825581,108.74914068637054,0.017428103809092654
1.0,224.34702490669272,136.49517724343636,-0.10814819264868936,-5.258274559006789,-123.65504111905511,111.46786920069474,0.01742535924128985
1.0,224.3417177910768,136.4950849066467,-0.11340646720769615,-5.381815413528122,-123.54085452133302,114.18659772209594,0.01742254853932313
1.0,224.33628580215463,136.49499039707126,-0.11878828262122428,-5.505239362723221,-123.42394919509836,116.90532623465799,0.01741967170319247
1.0,224.33072893992642,136.49489371469923,-0.1242935219839475,-5.628543687863565,-123.30432514034406,119.62405475429705,0.017416728732897905
1.0,224.32504720439232,136.49479485951952,-0.12992206567181105,-5.751725670220639,-123.18198235707456,122.34278326950232,0.017413719628439406
1.0,224.31924059555251,136.49469383152075,-0.1356737913420317,-5.874782591065924,-123.05692084528452,125.06151179003666,0.017410644389816987
1.0,224.31330911340714,136.49459063069133,-0.1415485739330976,-5.997711731670905,-122.92914060498106,127.78024030346558,0.017407503017030646
1.0,224.30725275795646,136.49448525701948,-0.14754628566476852,-6.120510373307064,-122.79864163615883,130.49896882222356,0.017404295510080384
1.0,224.30107152920058,136.49437771049304,-0.1536667960380756,-6.243175797245883,-122.66542393881875,133.21769734008626,0.017401021868966197
1.0,224.29476542713974,136.49426799109972,-0.15990997183532146,-6.365705284758845,-122.52948751296256,135.93642585618682,0.017397682093688086
1.0,224.2883344517741,136.49415609882692,-0.16627567712008032,-6.4880961171174345,-122.39083235858939,138.65515437316844,0.017394276184246053
1.0,224.28179605990368,136.49404256046932,-0.17276377323719774,-6.610352104102013,-122.25598698457851,134.84537401087948,0.017389761596686978
1.0,224.27515455363624,136.49392750553903,-0.17937412534129976,-6.732472535783106,-122.12043168109332,135.55530348519085,0.01738388140354152
