dt,x,y,position,velocity,acceleration,jerk,heading
1.0,174.5,74.25,0.0,0.0,0.0,0.0,0.0
1.0,174.50001,74.25,0.0,0.02,20.0,20000.0,0.0
1.0,174.50004,74.25,2.0E-5,0.04,20.0,0.0,0.0
1.0,174.50009,74.25,6.000000000000001E-5,0.06,19.999999999999996,-3.552713678800501E-12,0.0
1.0,174.50016,74.25,1.2E-4,0.08,20.000000000000004,7.105427357601002E-12,0.0
1.0,174.50025,74.25,2.0E-4,0.1,20.000000000000004,0.0,0.0
1.0,174.50036,74.25,3.0000000000000003E-4,0.12,19.99999999999999,-1.4210854715202004E-11,0.0
1.0,174.50049,74.25,4.2E-4,0.14,20.000000000000018,2.8421709430404007E-11,0.0
1.0,174.50064,74.25,5.600000000000001E-4,0.16,19.99999999999999,-2.8421709430404007E-11,0.0
1.0,174.50081,74.25,7.2E-4,0.18,19.99999999999999,0.0,0.0
1.0,174.501,74.25,9.0E-4,0.2,20.000000000000018,2.8421709430404007E-11,0.0
1.0,174.50121,74.25,0.0011,0.21999999999999997,19.99999999999996,-5.6843418860808015E-11,0.0
1.0,174.50144,74.25,0.00132,0.24,20.000000000000018,5.6843418860808015E-11,0.0
1.0,174.50169,74.25,0.00156,0.26,20.000000000000018,0.0,0.0
1.0,174.50196,74.25,0.00182,0.28,20.000000000000018,0.0,0.0
1.0,174.50225,74.25,0.0021,0.3,19.99999999999996,-5.6843418860808015E-11,0.0
1.0,174.50256,74.25,0.0024,0.32,20.000000000000018,5.6843418860808015E-11,0.0
1.0,174.50289,74.25,0.0027199999999999998,0.34,20.000000000000018,0.0,0.0
1.0,174.50324,74.25,0.00306,0.36,19.99999999999996,-5.6843418860808015E-11,0.0
1.0,174.50361,74.25,0.00342,0.38,20.000000000000018,5.6843418860808015E-11,0.0
1.0,174.504,74.25,0.0038,0.4,20.000000000000018,0.0,0.0
1.0,174.50441,74.25,0.0042,0.42000000000000004,20.000000000000018,0.0,0.0
1.0,174.50484,74.25,0.00462,0.43999999999999995,19.999999999999908,-1.1013412404281553E-10,0.0
1.0,174.50529,74.25,0.00506,0.45999999999999996,20.000000000000018,1.1013412404281553E-10,0.0
1.0,174.50576,74.25,0.005520000000000001,0.48,20.000000000000018,0.0,0.0
1.0,174.50625,74.25,0.006,0.5,20.000000000000018,0.0,0.0
1.0,174.50676,74.25,0.006500000000000001,0.52,20.000000000000018,0.0,0.0
1.0,174.50729,74.25,0.00702,0.54,20.000000000000018,0.0,0.0
1.0,174.50784,74.25,0.00756,0.56,20.000000000000018,0.0,0.0
1.0,174.50841,74.25,0.00812,0.58,19.999999999999908,-1.1013412404281553E-10,0.0
1.0,174.509,74.25,0.008700000000000001,0.6,20.000000000000018,1.1013412404281553E-10,0.0
1.0,174.50961,74.25,0.009300000000000001,0.6200000000000001,20.000000000000128,1.1013412404281553E-10,0.0
1.0,174.51024,74.25,0.009920000000000002,0.64,19.999999999999908,-2.2026824808563106E-10,0.0
1.0,174.51089,74.25,0.010560000000000002,0.66,20.000000000000018,1.1013412404281553E-10,0.0
1.0,174.51156,74.25,0.01122,0.68,20.000000000000018,0.0,0.0
1.0,174.51225,74.25,0.0119,0.7000000000000001,20.000000000000018,0.0,0.0
1.0,174.51296,74.25,0.0126,0.72,19.999999999999908,-1.1013412404281553E-10,0.0
1.0,174.51369,74.25,0.01332,0.74,20.000000000000018,1.1013412404281553E-10,0.0
1.0,174.51444,74.25,0.01406,0.76,20.000000000000018,0.0,0.0
1.0,174.51521,74.25,0.01482,0.78,20.000000000000018,0.0,0.0
1.0,174.516,74.25,0.0156,0.8,20.000000000000018,0.0,0.0
1.0,174.51681,74.25,0.016399999999999998,0.8200000000000001,20.000000000000018,0.0,0.0
1.0,174.51764,74.25,0.01722,0.8400000000000001,20.000000000000018,0.0,0.0
1.0,174.51849,74.25,0.01806,0.8599999999999999,19.999999999999794,-2.2382096176443156E-10,0.0
1.0,174.51936,74.25,0.01892,0.8799999999999999,20.000000000000018,2.2382096176443156E-10,0.0
1.0,174.52025,74.25,0.019799999999999998,0.8999999999999999,20.000000000000018,0.0,0.0
1.0,174.52116,74.25,0.0207,0.9199999999999999,20.000000000000018,0.0,0.0
1.0,174.52209,74.25,0.02162,0.94,20.000000000000018,0.0,0.0
1.0,174.52304,74.25,0.02256,0.96,20.000000000000018,0.0,0.0
1.0,174.52401,74.25,0.02352,0.98,20.000000000000018,0.0,0.0
1.0,174.525,74.25,0.0245,1.0,20.000000000000018,0.0,0.0
1.0,174.52601,74.25,0.025500000000000002,1.0199999999999998,19.999999999999794,-2.2382096176443156E-10,0.0
1.0,174.52704,74.25,0.026520000000000002,1.04,20.00000000000024,4.476419235288631E-10,0.0
1.0,174.52809,74.25,0.02756,1.06,20.000000000000018,-2.2382096176443156E-10,0.0
1.0,174.52916,74.25,0.02862,1.08,20.000000000000018,0.0,0.0
1.0,174.53025,74.25,0.0297,1.1,20.000000000000018,0.0,0.0
1.0,174.53136,74.25,0.0308,1.12,20.000000000000018,0.0,0.0
1.0,174.53249,74.25,0.031920000000000004,1.1400000000000001,20.000000000000018,0.0,0.0
1.0,174.53364,74.25,0.033060000000000006,1.16,19.999999999999794,-2.2382096176443156E-10,0.0
1.0,174.53481,74.25,0.03422000000000001,1.1800000000000002,20.00000000000024,4.476419235288631E-10,0.0
1.0,174.536,74.25,0.03540000000000001,1.2,19.999999999999794,-4.476419235288631E-10,0.0
1.0,174.53721,74.25,0.03660000000000001,1.22,20.000000000000018,2.2382096176443156E-10,0.0
1.0,174.53844,74.25,0.037820000000000006,1.2400000000000002,20.00000000000024,2.2382096176443156E-10,0.0
1.0,174.53969,74.25,0.039060000000000004,1.26,19.999999999999794,-4.476419235288631E-10,0.0
1.0,174.54096,74.25,0.04032,1.28,20.000000000000018,2.2382096176443156E-10,0.0
1.0,174.54225,74.25,0.041600000000000005,1.3,20.000000000000018,0.0,0.0
1.0,174.54356,74.25,0.04290000000000001,1.32,20.000000000000018,0.0,0.0
1.0,174.54489,74.25,0.04422000000000001,1.34,20.000000000000018,0.0,0.0
1.0,174.54624,74.25,0.04556000000000001,1.36,20.000000000000018,0.0,0.0
1.0,174.54761,74.25,0.04692000000000001,1.3800000000000001,20.000000000000018,0.0,0.0
1.0,174.549,74.25,0.04830000000000001,1.4000000000000001,20.000000000000018,0.0,0.0
1.0,174.55041,74.25,0.04970000000000001,1.42,19.999999999999794,-2.2382096176443156E-10,0.0
1.0,174.55184,74.25,0.051120000000000006,1.44,20.000000000000018,2.2382096176443156E-10,0.0
1.0,174.55329,74.25,0.05256,1.46,20.000000000000018,0.0,0.0
1.0,174.55476,74.25,0.054020000000000006,1.48,20.000000000000018,0.0,0.0
1.0,174.55625,74.25,0.05550000000000001,1.5,20.000000000000018,0.0,0.0
1.0,174.55776,74.25,0.05700000000000001,1.52,20.000000000000018,0.0,0.0
1.0,174.55929,74.25,0.05852000000000001,1.54,20.000000000000018,0.0,0.0
1.0,174.56084,74.25,0.06006000000000001,1.56,20.000000000000018,0.0,0.0
1.0,174.56241,74.25,0.06162000000000001,1.58,20.000000000000018,0.0,0.0
1.0,174.564,74.25,0.0632,1.6,20.000000000000018,0.0,0.0
1.0,174.56561,74.25,0.06480000000000001,1.62,20.000000000000018,0.0,0.0
1.0,174.56724,74.25,0.06642,1.6400000000000001,20.000000000000018,0.0,0.0
1.0,174.56889,74.25,0.06806000000000001,1.6600000000000001,20.000000000000018,0.0,0.0
1.0,174.57056,74.25,0.06972,1.6800000000000002,20.000000000000018,0.0,0.0
1.0,174.57225,74.25,0.0714,1.7000000000000002,20.000000000000018,0.0,0.0
1.0,174.57396,74.25,0.0731,1.7199999999999998,19.999999999999574,-4.440892098500626E-10,0.0
1.0,174.57569,74.25,0.07482,1.7399999999999998,20.000000000000018,4.440892098500626E-10,0.0
1.0,174.57744,74.25,0.07656,1.7599999999999998,20.000000000000018,0.0,0.0
1.0,174.57921,74.25,0.07832,1.7799999999999998,20.000000000000018,0.0,0.0
1.0,174.581,74.25,0.0801,1.7999999999999998,20.000000000000018,0.0,0.0
1.0,174.58281,74.25,0.0819,1.8199999999999998,20.000000000000018,0.0,0.0
1.0,174.58464,74.25,0.08372,1.8399999999999999,20.000000000000018,0.0,0.0
1.0,174.58649,74.25,0.08556,1.8599999999999999,20.000000000000018,0.0,0.0
1.0,174.58836,74.25,0.08742,1.88,20.000000000000018,0.0,0.0
1.0,174.59025,74.25,0.0893,1.9,20.000000000000018,0.0,0.0
1.0,174.59216,74.25,0.0912,1.92,20.000000000000018,0.0,0.0
1.0,174.59409,74.25,0.09312000000000001,1.94,20.000000000000018,0.0,0.0
1.0,174.59604,74.25,0.09506,1.96,20.000000000000018,0.0,0.0
1.0,174.59801,74.25,0.09702000000000001,1.98,20.000000000000018,0.0,0.0
1.0,174.6,74.25,0.099,2.0000000000000004,20.000000000000462,4.440892098500626E-10,0.0
1.0,174.60201,74.25,0.101,2.0200000000000005,20.000000000000018,-4.440892098500626E-10,0.0
