dt,x,y,position,velocity,acceleration,jerk,heading
1.0,213.5,29.25,0.0,0.0,0.0,0.0,1.5707963267948966
1.0,213.5,29.25001,0.0,0.02,20.0,20000.0,1.5707963267948966
1.0,213.5,29.25004,2.0E-5,0.04,20.0,0.0,1.5707963267948966
1.0,213.5,29.25009,6.000000000000001E-5,0.06,19.999999999999996,-3.552713678800501E-12,1.5707963267948966
1.0,213.5,29.25016,1.2E-4,0.08,20.000000000000004,7.105427357601002E-12,1.5707963267948966
1.0,213.5,29.25025,2.0E-4,0.1,20.000000000000004,0.0,1.5707963267948966
1.0,213.5,29.25036,3.0000000000000003E-4,0.12,19.99999999999999,-1.4210854715202004E-11,1.5707963267948966
1.0,213.5,29.25049,4.2E-4,0.14,20.000000000000018,2.8421709430404007E-11,1.5707963267948966
1.0,213.5,29.25064,5.600000000000001E-4,0.16,19.99999999999999,-2.8421709430404007E-11,1.5707963267948966
1.0,213.5,29.25081,7.2E-4,0.18,19.99999999999999,0.0,1.5707963267948966
1.0,213.5,29.251,9.0E-4,0.2,20.000000000000018,2.8421709430404007E-11,1.5707963267948966
1.0,213.5,29.25121,0.0011,0.21999999999999997,19.99999999999996,-5.6843418860808015E-11,1.5707963267948966
1.0,213.5,29.25144,0.00132,0.24,20.000000000000018,5.6843418860808015E-11,1.5707963267948966
1.0,213.5,29.25169,0.00156,0.26,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.25196,0.00182,0.28,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.25225,0.0021,0.29999999999999993,19.999999999999908,-1.1013412404281553E-10,1.5707963267948966
1.0,213.5,29.25256,0.0024,0.32,20.000000000000075,1.6697754290362354E-10,1.5707963267948966
1.0,213.5,29.25289,0.0027199999999999998,0.34,20.000000000000018,-5.6843418860808015E-11,1.5707963267948966
1.0,213.5,29.25324,0.00306,0.36,19.99999999999996,-5.6843418860808015E-11,1.5707963267948966
1.0,213.5,29.25361,0.00342,0.38,20.000000000000018,5.6843418860808015E-11,1.5707963267948966
1.0,213.5,29.254,0.0038,0.4,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.25441,0.0042,0.42000000000000004,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.25484,0.00462,0.43999999999999995,19.999999999999908,-1.1013412404281553E-10,1.5707963267948966
1.0,213.5,29.25529,0.00506,0.4600000000000001,20.000000000000128,2.2026824808563106E-10,1.5707963267948966
1.0,213.5,29.25576,0.005520000000000001,0.48,19.999999999999908,-2.2026824808563106E-10,1.5707963267948966
1.0,213.5,29.25625,0.006,0.5,20.000000000000018,1.1013412404281553E-10,1.5707963267948966
1.0,213.5,29.25676,0.006500000000000001,0.52,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.25729,0.00702,0.54,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.25784,0.00756,0.56,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.25841,0.00812,0.58,19.999999999999908,-1.1013412404281553E-10,1.5707963267948966
1.0,213.5,29.259,0.008700000000000001,0.5999999999999999,19.999999999999908,0.0,1.5707963267948966
1.0,213.5,29.25961,0.009300000000000001,0.62,20.000000000000128,2.2026824808563106E-10,1.5707963267948966
1.0,213.5,29.26024,0.009920000000000002,0.64,20.000000000000018,-1.1013412404281553E-10,1.5707963267948966
1.0,213.5,29.26089,0.010560000000000002,0.66,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.26156,0.01122,0.68,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.26225,0.0119,0.7000000000000001,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.26296,0.0126,0.72,19.999999999999908,-1.1013412404281553E-10,1.5707963267948966
1.0,213.5,29.26369,0.01332,0.74,20.000000000000018,1.1013412404281553E-10,1.5707963267948966
1.0,213.5,29.26444,0.01406,0.76,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.26521,0.01482,0.78,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.266,0.0156,0.8,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.26681,0.016399999999999998,0.8200000000000001,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.26764,0.01722,0.8400000000000001,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.26849,0.01806,0.8599999999999999,19.999999999999794,-2.2382096176443156E-10,1.5707963267948966
1.0,213.5,29.26936,0.01892,0.8799999999999999,20.000000000000018,2.2382096176443156E-10,1.5707963267948966
1.0,213.5,29.27025,0.019799999999999998,0.8999999999999999,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.27116,0.0207,0.9200000000000002,20.00000000000024,2.2382096176443156E-10,1.5707963267948966
1.0,213.5,29.27209,0.02162,0.9399999999999998,19.999999999999684,-5.577760475716786E-10,1.5707963267948966
1.0,213.5,29.27304,0.02256,0.96,20.000000000000128,4.440892098500626E-10,1.5707963267948966
1.0,213.5,29.27401,0.02352,0.98,20.000000000000018,-1.1013412404281553E-10,1.5707963267948966
1.0,213.5,29.275,0.0245,1.0,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.27601,0.025500000000000002,1.02,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.27704,0.026520000000000002,1.04,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.27809,0.02756,1.0599999999999998,19.999999999999794,-2.2382096176443156E-10,1.5707963267948966
1.0,213.5,29.27916,0.02862,1.08,20.00000000000024,4.476419235288631E-10,1.5707963267948966
1.0,213.5,29.28025,0.0297,1.1,20.000000000000018,-2.2382096176443156E-10,1.5707963267948966
1.0,213.5,29.28136,0.0308,1.12,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.28249,0.031920000000000004,1.1400000000000001,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.28364,0.033060000000000006,1.16,19.999999999999794,-2.2382096176443156E-10,1.5707963267948966
1.0,213.5,29.28481,0.03422000000000001,1.1800000000000002,20.00000000000024,4.476419235288631E-10,1.5707963267948966
1.0,213.5,29.286,0.03540000000000001,1.1999999999999997,19.999999999999574,-6.679101716144942E-10,1.5707963267948966
1.0,213.5,29.28721,0.03660000000000001,1.22,20.00000000000024,6.679101716144942E-10,1.5707963267948966
1.0,213.5,29.28844,0.037820000000000006,1.24,20.000000000000018,-2.2382096176443156E-10,1.5707963267948966
1.0,213.5,29.28969,0.039060000000000004,1.26,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.29096,0.04032,1.28,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.29225,0.041600000000000005,1.3,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.29356,0.04290000000000001,1.32,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.29489,0.04422000000000001,1.34,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.29624,0.04556000000000001,1.36,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.29761,0.04692000000000001,1.3800000000000001,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.299,0.04830000000000001,1.4000000000000001,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.30041,0.04970000000000001,1.42,19.999999999999794,-2.2382096176443156E-10,1.5707963267948966
1.0,213.5,29.30184,0.051120000000000006,1.44,20.000000000000018,2.2382096176443156E-10,1.5707963267948966
1.0,213.5,29.30329,0.05256,1.46,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.30476,0.054020000000000006,1.48,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.30625,0.05550000000000001,1.5,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.30776,0.05700000000000001,1.52,20.000000000000018,0.0,1.5707963267948966
1.0,213.5,29.30929,0.05852000000000001,1.54,20.000000000000018,0.0,1.5707963267948966
